manager_id,email_address,start_date,last_login,user_id
CDD3AA5D-F8BF-40BB-B220-36147E1B75F7,L6i9Zsn09duP6Qqb1PpubsreI,2025-Mar-01,2025-03-23,1
A37D98B9-98E7-43ED-9B27-A79EFDDAC033,Engdw4iN7gMwyYSQeSoMBqV,2021-Feb-17,2025-02-27,2
4828D9F6-5959-4646-92AD-8A8AD49ABE4A,DAXS6jLPcjnsJ5bsrDsTGZB,2020-Jun-19,2025-03-07,3
A37D98B9-98E7-43ED-9B27-A79EFDDAC033,52woJZUqGI3lVz5t06YdVdmYOr3Hq7iZ9,2021-Oct-01,2025-02-14,4
CDD3AA5D-F8BF-40BB-B220-36147E1B75F7,OWXpBc9KDvdOcI7WvJYxzoo,2024-Mar-21,2025-01-22,5
880036D9-568A-47BC-80FB-3C9BC5D74313,KW3ehdcBBeLUxedhDd2ZMH,2021-Aug-01,2025-03-02,6
CDD3AA5D-F8BF-40BB-B220-36147E1B75F7,rQUaNs0gVbRtcLDXGIh9Aq,2021-Sep-02,2025-01-19,7
CDD3AA5D-F8BF-40BB-B220-36147E1B75F7,kcGvgOnAoHqRtEVjdRfD,2024-Mar-02,2025-04-07,8
0213F1C0-01D9-422C-8737-19FBFA902082,5LVXNAEbjIKfAxuCL924By,2023-Nov-19,2025-04-02,9
4828D9F6-5959-4646-92AD-8A8AD49ABE4A,wLnstzIJdHsRr0dshI2o0aGqt,2023-May-15,2025-01-14,10
A37D98B9-98E7-43ED-9B27-A79EFDDAC033,huCZ3tnUjoKnM1LbmvgryI,2024-Jan-24,2025-03-13,11
850A74DC-8ED7-4AE0-A998-94A30E8C1E4C,zyL9csA6BslRbYaaW6tc,2024-Jun-09,2025-01-26,12
2AB96C22-181C-42DC-8B11-3EDAA281D4F8,jDU72b8pVxiFo1aCVX1xq,2024-Mar-16,2025-01-20,13
880036D9-568A-47BC-80FB-3C9BC5D74313,r3gOFTY6Ia4wRVX1NgKTuQrKf,2024-Apr-07,2025-03-29,14
2AB96C22-181C-42DC-8B11-3EDAA281D4F8,f6gfBF2zQ1OFBtKpmXQZRUQopY2,2023-Jul-04,2025-01-22,15
6A6EE61B-2793-4D65-BDC5-14F849AEEC32,9yDyh1ztQbNoY2FksnACaDTvkBup,2021-May-09,2025-02-05,16
880036D9-568A-47BC-80FB-3C9BC5D74313,bl894NVECaECco2NmOGldZwdX7i,2022-Jun-25,2025-02-10,17
2AB96C22-181C-42DC-8B11-3EDAA281D4F8,4gQ0DoIztQT2LsaxPvCFj7,2020-Nov-04,2025-03-25,18
4828D9F6-5959-4646-92AD-8A8AD49ABE4A,PDVb4q89a26Xldg4hfLf,2020-Jun-11,2025-01-21,19
CDD3AA5D-F8BF-40BB-B220-36147E1B75F7,Pr38CR2zayQCcdtszuHVp,2021-Mar-20,2025-02-13,16
EFEABEA5-981B-4E45-8F13-425C456BF7F6,gDeAvBVPOSqlWNdKlHbKap,2021-Sep-30,2025-01-16,17
EFEABEA5-981B-4E45-8F13-425C456BF7F6,wqz2gQX4dlCNs0zXl0C4jBIc0,2022-Feb-22,2025-01-14,20
850A74DC-8ED7-4AE0-A998-94A30E8C1E4C,VkvSKIK1yohHpiMEqScVk4W,2023-Feb-25,2025-04-05,21
EFEABEA5-981B-4E45-8F13-425C456BF7F6,tPKx1kPkukzx97AaYQymLZW3cAO,2024-Oct-07,2025-02-10,18
850A74DC-8ED7-4AE0-A998-94A30E8C1E4C,W0ueYJEhYRaZH2E6HnGZ7OOAL4,2021-Aug-11,2025-02-14,22
2AB96C22-181C-42DC-8B11-3EDAA281D4F8,1XHrKqWwF5bm79Zc7ECS,2022-Jul-29,2025-04-04,23
A37D98B9-98E7-43ED-9B27-A79EFDDAC033,htssqEiOnuoRSRqtsfQrS721b4MC,2025-Feb-23,2025-04-03,24
CDD3AA5D-F8BF-40BB-B220-36147E1B75F7,IuiupNQEE1idHZNSzNuglpS,2024-Feb-18,2025-03-03,25
A37D98B9-98E7-43ED-9B27-A79EFDDAC033,7Znz4OavPEsd3HU38shQ2oWh,2023-May-05,2025-03-13,26
EFEABEA5-981B-4E45-8F13-425C456BF7F6,LKGxXfsEGwuu5tRgmeNESNcNcJ11jF,2024-Aug-10,2025-03-03,27
CDD3AA5D-F8BF-40BB-B220-36147E1B75F7,WHkbld8IFAA0sLinuc2Za,2024-Aug-26,2025-02-13,28
6A6EE61B-2793-4D65-BDC5-14F849AEEC32,OpO3EkiKSQm2u99oooTjrIVMzZ,2022-Sep-02,2025-02-18,29
6A6EE61B-2793-4D65-BDC5-14F849AEEC32,OEe6wCDZGCxxuNpRfaqX9VjzOk,2024-Jan-26,2025-02-24,30
0213F1C0-01D9-422C-8737-19FBFA902082,xYhjM7KKsK09aYSgtD31wLK,2022-Jan-25,2025-02-26,31
6A6EE61B-2793-4D65-BDC5-14F849AEEC32,hsvl0eCPtsRHtwbjR5bB,2020-Aug-03,2025-01-09,32
2AB96C22-181C-42DC-8B11-3EDAA281D4F8,kBBJVuaqA6PYqNKyxFZ,2024-Aug-14,2025-02-11,33
880036D9-568A-47BC-80FB-3C9BC5D74313,KCkQpvrKLIY4n3FuvMUZehm6QU,2023-Aug-14,2025-03-24,4
6A6EE61B-2793-4D65-BDC5-14F849AEEC32,WiWfi8z9OkpCA2zkTk2ssvtuX2Nd,2020-May-18,2025-03-06,34
EFEABEA5-981B-4E45-8F13-425C456BF7F6,YOwpc0DqIq5pedW0USH2yRvUV,2023-Apr-25,2025-03-05,35
2AB96C22-181C-42DC-8B11-3EDAA281D4F8,8WTdCSXgm8lA9ldC8EFUUj,2022-Nov-28,2025-03-03,36
4828D9F6-5959-4646-92AD-8A8AD49ABE4A,3e6hUanayth5ORIXAvIgm,2021-Feb-06,2025-01-18,37
6A6EE61B-2793-4D65-BDC5-14F849AEEC32,1KY0buMtUyHAtVRlSIP,2025-Jan-14,2025-01-29,38
4828D9F6-5959-4646-92AD-8A8AD49ABE4A,NUUNQUQmKmXeHRzjqdJyOg,2022-Mar-29,2025-02-16,39
880036D9-568A-47BC-80FB-3C9BC5D74313,9MC2NhNXG0e82xIHv8ZL79uT,2023-Dec-15,2025-01-09,40
6A6EE61B-2793-4D65-BDC5-14F849AEEC32,1TRqE0l4ebpq6gZxcWj5t,2023-Sep-15,2025-04-01,41
EFEABEA5-981B-4E45-8F13-425C456BF7F6,p7GCVGSFffqfDwIglMQcAY6Gb4Hf,2023-Oct-16,2025-04-03,42
6A6EE61B-2793-4D65-BDC5-14F849AEEC32,DvIH0EJr0l2Wp2O4ReOaGM9UgqHE2g,2025-Mar-04,2025-04-07,43
A37D98B9-98E7-43ED-9B27-A79EFDDAC033,dxS41vDLKrkOXx0VOBXv8n2Ew,2024-Dec-18,2025-03-14,38
4828D9F6-5959-4646-92AD-8A8AD49ABE4A,YkCSLgSMHPDB22nWHQ55MYq,2024-Jan-24,2025-01-10,44
880036D9-568A-47BC-80FB-3C9BC5D74313,YD0wMyFkL90ymAKIBdWR7RcF54retQ,2021-Aug-31,2025-03-10,45
2AB96C22-181C-42DC-8B11-3EDAA281D4F8,h9iTEnvWy4epe7NDSYnc,2020-Oct-05,2025-01-17,46
A37D98B9-98E7-43ED-9B27-A79EFDDAC033,llcTy2UShKU0bRPFiaf,2023-Aug-12,2025-03-18,4
2AB96C22-181C-42DC-8B11-3EDAA281D4F8,jkBvS3TuhOBC11YDEP56edp,2024-Apr-28,2025-01-07,47
EFEABEA5-981B-4E45-8F13-425C456BF7F6,NjfP0luycvVtz2A4GPikTz,2025-Jan-17,2025-01-25,48
850A74DC-8ED7-4AE0-A998-94A30E8C1E4C,uHIgLZRM0jX5OcoglO7QAzl,2021-Sep-11,2025-01-10,15
CDD3AA5D-F8BF-40BB-B220-36147E1B75F7,B8ABCYByAMvMLWmxOxjWpqkP,2022-Feb-15,2025-01-17,49
EFEABEA5-981B-4E45-8F13-425C456BF7F6,NUKhJlxGKl5lBESvfYDA6Fr,2021-Feb-10,2025-02-03,50
78FFE618-36C0-4A45-BB0F-8803B79D2A1F,YtCCSmojVrD1YrwAk65FZNAM,2023-Dec-25,2025-03-16,51
880036D9-568A-47BC-80FB-3C9BC5D74313,qNWJXRqMoz0jciWxsIwui6Bn,2021-Aug-10,2025-02-24,52
2AB96C22-181C-42DC-8B11-3EDAA281D4F8,AjM5pCAIvtcaHui4Z1n2f9k,2023-Mar-06,2025-04-05,53
78FFE618-36C0-4A45-BB0F-8803B79D2A1F,J3dO3yuDEQnpA5DA6,2021-Jul-11,2025-01-08,26
4828D9F6-5959-4646-92AD-8A8AD49ABE4A,Wqkavz3Fmqy4a0BIvZFM3ilnpSD,2021-May-01,2025-03-16,27
6A6EE61B-2793-4D65-BDC5-14F849AEEC32,KfT8zbuLLJ9z55c4TJzMioJ,2022-Dec-25,2025-02-25,54
6A6EE61B-2793-4D65-BDC5-14F849AEEC32,U1dRHrp12dZV03pJuxm2e,2021-Feb-22,2025-02-11,55
880036D9-568A-47BC-80FB-3C9BC5D74313,bwD41lAgWgKdYPkEeeEDj,2024-Sep-24,2025-03-15,56
0213F1C0-01D9-422C-8737-19FBFA902082,Oc0z1W54JiEAufGTZ1T4,2023-May-12,2025-03-17,57
0213F1C0-01D9-422C-8737-19FBFA902082,X8yhKZIKKjFEpCYfQ3iZ3Yuqu,2022-Dec-26,2025-03-10,22
EFEABEA5-981B-4E45-8F13-425C456BF7F6,xWdR1CU4kNynfeSFW66Er0LL,2024-May-29,2025-02-12,58
78FFE618-36C0-4A45-BB0F-8803B79D2A1F,AJyOuZaqQ1wfNEXP40BBMGl,2024-May-29,2025-02-12,59
880036D9-568A-47BC-80FB-3C9BC5D74313,P5upk2FzeFHteMZfqbdt86VhO6bi,2022-Aug-01,2025-03-05,60
