manager_id,email_address,start_date,last_login,user_id
CDD3AA5D-F8BF-40BB-B220-36147E1B75F7,Lc8A0nmnZeXNaMwNC61d5KZWf,2025-Mar-01,2025-03-23,1
A37D98B9-98E7-43ED-9B27-A79EFDDAC033,3Lr0b48ekTqMUAEuksrZcMJ,2021-Feb-17,2025-02-27,2
4828D9F6-5959-4646-92AD-8A8AD49ABE4A,5NFgJFfK7HCgeW8NeOoIy8k,2020-Jun-19,2025-03-07,3
A37D98B9-98E7-43ED-9B27-A79EFDDAC033,Cvh5pJih9eybmLa8DbFIK4tXBVbjNy4nk,2021-Oct-01,2025-02-14,4
CDD3AA5D-F8BF-40BB-B220-36147E1B75F7,sr6MA7xZOilx1KhqHSdMVq2,2024-Mar-21,2025-01-22,5
880036D9-568A-47BC-80FB-3C9BC5D74313,Kchts3rBzTbBw3EQhPhvca,2021-Aug-01,2025-03-02,6
CDD3AA5D-F8BF-40BB-B220-36147E1B75F7,r0DjirvG8flSKmbhqeLUKT,2021-Sep-02,2025-01-19,7
CDD3AA5D-F8BF-40BB-B220-36147E1B75F7,ZmjXYg3VQ8t9I5ToH1LJ,2024-Mar-02,2025-04-07,8
0213F1C0-01D9-422C-8737-19FBFA902082,P35bHG5q2T2JwtfJU64zlr,2023-Nov-19,2025-04-02,9
4828D9F6-5959-4646-92AD-8A8AD49ABE4A,LWYINg0nYDgQ2IQgiKrnNhKfv,2023-May-15,2025-01-14,10
A37D98B9-98E7-43ED-9B27-A79EFDDAC033,l6wr6bfJprTSYClBLKli9e,2024-Jan-24,2025-03-13,11
850A74DC-8ED7-4AE0-A998-94A30E8C1E4C,SAOSGwkvY5luu0VeFA2P,2024-Jun-09,2025-01-26,12
2AB96C22-181C-42DC-8B11-3EDAA281D4F8,FkNlN5rftu6vqXOceeVX0,2024-Mar-16,2025-01-20,13
880036D9-568A-47BC-80FB-3C9BC5D74313,PryPmGNEswZA9h58JAKeHKVZL,2024-Apr-07,2025-03-29,14
